数据库：分省年度数据
指标：普通高等学校数(所)
时间：最近10年
地区,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京市,91,89,89,89,87,87,86,85,79,80
天津市,55,55,55,55,55,55,55,55,46,45
河北省,118,118,118,113,112,110,109,105,88,88
山西省,79,79,78,75,74,73,71,69,59,56
内蒙古自治区,53,50,49,48,47,44,41,39,37,37
辽宁省,116,116,115,112,112,112,107,104,79,78
吉林省,58,58,58,57,57,56,55,55,44,45
黑龙江省,81,80,80,79,78,79,78,78,68,65
上海市,67,68,68,67,66,67,66,66,60,60
江苏省,162,159,156,153,151,150,148,146,118,116
浙江省,105,104,102,102,102,101,99,98,73,68
安徽省,119,118,117,118,115,111,106,104,89,83
福建省,88,88,87,86,85,84,84,81,72,63
江西省,97,95,92,88,86,85,85,82,66,66
山东省,143,141,139,136,138,132,126,125,110,108
河南省,129,129,127,120,117,107,99,94,82,84
湖北省,126,123,123,122,122,120,120,118,86,86
湖南省,124,124,122,121,120,117,115,115,99,96
广东省,143,141,138,137,134,131,125,125,109,105
广西壮族自治区,71,70,70,70,70,70,68,68,56,55
海南省,17,17,17,17,17,17,17,16,14,15
重庆市,64,63,63,60,59,53,50,47,38,38
四川省,109,107,103,99,93,92,92,90,76,74
贵州省,59,55,52,49,48,47,47,45,37,36
云南省,69,67,67,66,64,61,61,59,51,50
西藏自治区,6,6,6,6,6,6,6,6,6,6
陕西省,92,92,92,91,90,90,89,88,76,76
甘肃省,45,43,42,42,42,40,39,39,34,33
青海省,12,12,9,9,9,9,9,9,11,11
宁夏回族自治区,18,18,16,16,16,15,15,15,13,13
新疆维吾尔自治区,44,44,41,39,37,37,37,37,32,31
数据来源：国家统计局
